Stat. Type,Knowlton Hall - Steam Consumption (kBTU),Knowlton Hall - Electricity Consumption (kBTU),Knowlton Hall - Chilled Water Consumption (kBTU),Knowlton Hall - Hot Water Consumption (kBTU),Knowlton Hall - Total Energy Consumption (Cleaned) (kBTU),Knowlton Hall - Natural Gas Consumption (kBTU),North Recreation Center - Steam Consumption (kBTU),North Recreation Center - Electricity Consumption (kBTU),North Recreation Center - Chilled Water Consumption (kBTU),North Recreation Center - Hot Water Consumption (kBTU),North Recreation Center - Total Energy Consumption (Cleaned) (kBTU),North Recreation Center - Natural Gas Consumption (kBTU),Denney Hall - Steam Consumption (kBTU),Denney Hall - Electricity Consumption (kBTU),Denney Hall - Chilled Water Consumption (kBTU),Denney Hall - Hot Water Consumption (kBTU),Denney Hall - Total Energy Consumption (Cleaned) (kBTU),Denney Hall - Natural Gas Consumption (kBTU),Thompson Library - Steam Consumption (kBTU),Thompson Library - Electricity Consumption (kBTU),Thompson Library - Chilled Water Consumption (kBTU),Thompson Library - Hot Water Consumption (kBTU),Thompson Library - Total Energy Consumption (Cleaned) (kBTU),Thompson Library - Natural Gas Consumption (kBTU),Enarson Building - Steam Consumption (kBTU),Enarson Building - Electricity Consumption (kBTU),Enarson Building - Chilled Water Consumption (kBTU),Enarson Building - Hot Water Consumption (kBTU),Enarson Building - Total Energy Consumption (Cleaned) (kBTU),Enarson Classroom Building - Natural Gas Consumption (kBTU),Knowlton Hall - Occupancy (DEV),North Recreation Center - Occupancy (DEV),Denney Hall - Occupancy (DEV),Thompson Memorial Library - Occupancy (DEV),Enarson Classroom Building - Occupancy (DEV)
Mean (2017-2022),10.02378403,866.487714,1070.103589,,1682.79252,0.005944534,,161.5722251,402.8240283,135.8588875,580.1694824,,,472.015897,,835.6019849,1207.953989,,4524.347829,1426.083823,3116.042724,,6004.729071,0.004736139,1126.876558,830.2218061,572.2718208,,2181.781881,,111.6864409,26.8512907,106.4062519,321.2873795,122.2920794
Standard Deviation (2017-2022),60.73542916,284.5097666,1481.855729,,1462.750099,0.048648069,,59.0756233,408.5727714,190.7768257,421.5329129,,,199.6159152,,895.0369936,825.8301,,5898.825351,294.5800183,2711.79714,,5699.565529,0.278420109,1869.458499,157.2535292,654.4517627,,1654.397554,,220.8185822,41.61253215,173.382464,544.4900356,209.9479934
Mean (2017),,997.3317714,,,997.3317714,,,176.008659,,1.608450538,177.6171095,,,#DIV/0!,,902.6889777,902.6889777,,,1571.279065,,,1571.279065,,,,,,,,,,,,
Standard Deviation (2017),,277.9310413,,,277.9310413,,,49.78296244,,3.06536443,50.34728213,,,#DIV/0!,,792.9179013,792.9179013,,,252.6357838,,,252.6357838,,,,,,,,,,,,
Mean (2018),70.23907786,987.5334368,1197.614062,,1736.362468,,,198.0870183,214.9830948,100.5850563,358.9458738,,,571.8565125,,896.5647526,1343.670375,,,1586.94324,1707.650672,,2065.904164,,,880.9251976,715.4572045,,1515.461986,,154.8569262,22.40141557,142.6114458,564.5326305,168.5133906
Standard Deviation (2018),152.4594773,294.7376468,1332.331197,,1339.726685,,,48.1058328,289.2271458,164.7443296,274.7340775,,,161.0644646,,910.9549779,718.7968454,,,250.2563519,1361.947565,,1108.43669,,,155.7767285,765.2538555,,863.8013051,,199.8992039,34.49805751,152.403828,662.8679973,200.6812568
Mean (2019),0.658113281,877.0595506,669.8943178,,1547.611907,0,,192.9870408,358.9459698,295.0410299,846.9740405,,,495.8059019,,795.5219724,1291.327874,,18488.84358,1597.921532,4582.244173,,11373.7576,0.005924406,3453.631032,906.2502784,518.8794613,,2413.401969,,145.5230021,39.03056249,128.4355655,394.43263,184.9182196
Standard Deviation (2019),0.845692943,269.2254576,1179.406122,,1274.97336,0,,42.36989316,344.4770568,200.1700462,298.9770571,,,160.5908637,,866.319072,773.3650494,,12354.01384,255.0393174,3810.758298,,10536.98562,0.155252409,3986.433129,171.3428085,549.4615393,,2466.164243,,229.7068429,48.84886098,192.7170715,576.1086113,263.7243253
Mean (2020),0.610297556,760.357091,899.5299268,,1660.498074,0.000758739,,143.4852603,292.534581,276.2541757,712.274017,,,310.6459192,,648.3771869,959.0231061,,2902.952212,1217.782316,3132.780775,,7253.517548,0.00224458,1167.34384,756.5765069,325.5023861,,2249.422733,,52.33410447,18.30987459,57.47881665,186.1790845,78.3264337
Standard Deviation (2020),1.22691494,233.706982,1320.127028,,1414.021472,0.010798032,,53.71577623,307.5149066,209.1309956,365.801796,,,114.169162,,756.2193798,755.0352419,,1019.819966,269.5753988,2541.00403,,2232.910407,0.110981962,2046.914779,140.217328,448.6500883,,2002.119507,,158.15742,36.4630914,107.4302255,414.3380691,181.0221485
